recorded_at	ok	status	handoff_freshness_status	handoff_status	latest_apply_status	selection_stratum	rows_in_batch	model_assessments_in_batch	local_packet_exists	local_response_template_exists	error_keys	handoff_summary
2026-05-25T22:45:46+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-25T22:47:48+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T00:40:21+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T00:51:02+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T00:51:24+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T02:26:38+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T02:26:53+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T02:28:15+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T02:31:29+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T02:34:23+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T02:35:31+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T04:58:26+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T05:08:03+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	critical_or_high_risk_missed	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T09:25:45+08:00	True	review_session_ready	handoff_fresh	batch_ready_for_refresh	response_complete	unsafe_downrouting	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T09:26:00+08:00	True	review_session_ready	handoff_fresh	batch_ready_for_refresh	response_pending	unsafe_downrouting	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T09:26:49+08:00	True	review_session_ready	handoff_fresh	batch_ready_for_refresh	response_pending	unsafe_downrouting	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
2026-05-26T09:28:38+08:00	True	review_session_ready	handoff_fresh	reviewer_input_pending	response_pending	unsafe_downrouting	6	18	True	True		70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_reviewer_handoff_summary.json
