work_order_id	row_number	step_order	step_type	status	pending_action_items	reviewer_instruction	command	completion_signal	privacy_boundary
row-13:01-mark-timing-start	13	01	mark_timing_start	pending	1	start timing immediately before opening local row content	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 13 --mark-start --write	review_started_at is present for every model row in this selected row	tracked command only; local response TSV remains ignored
row-13:02-open-local-row	13	02	open_local_row	local_only_required	0	inspect transcript-bearing row locally only	.venv/bin/python 80_semantic_risk_asr/annotation/review_human_risk_atom_audit.py --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --row-number 13 --show-row --access-log 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_local_row_access_log.tsv	reviewer has inspected the local row without copying content into git	command output is transcript-bearing and must stay local-only
row-13:03-fill-row-fields	13	03	fill_row_fields	pending	8	fill row-level fields in local response TSV: reviewer_annotation_confidence,reviewer_asr_confusion_terms,reviewer_critical_atoms,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_risk_atoms,reviewer_semantic_risk_label,reviewer_would_asr_error_change_decision	manual local response TSV entry	row_response_complete becomes true in strict dry-run	field names are tracked; reviewer values stay local until aggregate refresh
row-13:04-fill-model-fields	13	04	fill_model_fields	pending	12	fill model-level fields in local response TSV for slots 1,2,3: model_reviewer_annotation_confidence,model_reviewer_critical_atoms,model_reviewer_expected_safe_action,model_reviewer_would_asr_error_change_decision	manual local response TSV entry	model_assessments_missing_count becomes 0 in strict dry-run	field names and slot numbers are tracked; model judgements stay local until aggregate refresh
row-13:05-mark-timing-finish	13	05	mark_timing_finish	pending	1	finish timing immediately after row/model fields are filled	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 13 --mark-finish --write	review_finished_at or review_elapsed_seconds is present for this selected row	tracked command only; local response TSV remains ignored
row-14:01-mark-timing-start	14	01	mark_timing_start	pending	1	start timing immediately before opening local row content	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 14 --mark-start --write	review_started_at is present for every model row in this selected row	tracked command only; local response TSV remains ignored
row-14:02-open-local-row	14	02	open_local_row	local_only_required	0	inspect transcript-bearing row locally only	.venv/bin/python 80_semantic_risk_asr/annotation/review_human_risk_atom_audit.py --audit-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/human_risk_atom_audit_sheet.tsv --row-number 14 --show-row --access-log 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/human_audit_local_row_access_log.tsv	reviewer has inspected the local row without copying content into git	command output is transcript-bearing and must stay local-only
row-14:03-fill-row-fields	14	03	fill_row_fields	pending	8	fill row-level fields in local response TSV: reviewer_annotation_confidence,reviewer_asr_confusion_terms,reviewer_critical_atoms,reviewer_decision_change_reason,reviewer_expected_safe_action,reviewer_risk_atoms,reviewer_semantic_risk_label,reviewer_would_asr_error_change_decision	manual local response TSV entry	row_response_complete becomes true in strict dry-run	field names are tracked; reviewer values stay local until aggregate refresh
row-14:04-fill-model-fields	14	04	fill_model_fields	pending	12	fill model-level fields in local response TSV for slots 1,2,3: model_reviewer_annotation_confidence,model_reviewer_critical_atoms,model_reviewer_expected_safe_action,model_reviewer_would_asr_error_change_decision	manual local response TSV entry	model_assessments_missing_count becomes 0 in strict dry-run	field names and slot numbers are tracked; model judgements stay local until aggregate refresh
row-14:05-mark-timing-finish	14	05	mark_timing_finish	pending	1	finish timing immediately after row/model fields are filled	.venv/bin/python 80_semantic_risk_asr/annotation/mark_human_audit_response_timing.py --response-sheet 70_experiments/runs/janus_300_high_stakes_human_audit_selection_2026_05_25/artifacts/review_responses/2026-05-26T095716_0800_high_proxy_risk_response_template.tsv --row-number 14 --mark-finish --write	review_finished_at or review_elapsed_seconds is present for this selected row	tracked command only; local response TSV remains ignored
